wins,loss
37,20
35,20
40,21
27,17
30,11
10,7
20,16
38,27
27,17
20,13
29,6
17,14
19,14
26,16
20,19
17,13
24,9
31,6
34,3
27,11
29,7
24,10
23,20
22,6
17,10
23,17
10,3
31,17
21,7
22,20
19,3
34,27
21,6
34,0
30,20
27,14
27,0
38,10
39,13
30,15
20,14
24,17
29,13
31,0
36,27
42,10
25,24
35,17
17,3
31,10
27,23
24,6
23,7
17,10
13,6
28,25
28,14
30,21
17,14
10,7
17,13
40,34
35,16
33,18
10,6
14,10
19,17
27,0
17,10
30,16
15,10
24,14
31,28
39,17
31,10
22,19
31,16
23,19
37,6
46,38
34,13
14,12
22,15
28,24
16,13
28,11
17,13
28,17
30,27
17,7
45,13
21,7
23,13
24,13
20,10
27,22
27,24
21,17
17,3
37,21
19,10
26,21
23,20
34,16
27,9
19,7
31,21
35,28
32,28
28,21
17,14
23,13
25,22
45,34
13,9
23,14
28,21
20,17
31,16
37,31
20,9
10,9
13,7
35,7
31,21
32,13
29,10
34,7
28,25
15,13
13,10
20,17
24,21
42,6
16,8
28,18
31,21
26,19
38,13
23,16
42,23
21,6
24,17
22,21
34,24
37,34
20,17
59,16
24,17
31,27
31,14
37,13
27,20
17,12
20,17
42,23
30,27
27,17
27,21
34,29
31,17
17,15
20,10
28,3
26,21
34,8
14,10
17,16
38,20
25,17
23,20
31,23
16,13
21,6
41,31
31,14
35,10
19,16
13,7
28,25
31,6
27,13
21,17
28,14
27,21
20,6
36,30
24,9
24,17
28,24
21,10
24,0
31,17
24,0
41,17
30,27
28,17
13,10
17,7
35,10
26,10
34,7
45,7
34,10
37,10
21,14
35,9
24,10
16,3
23,17
31,15
17,7
41,6
30,24
26,18
34,10
10,6
24,22
26,7
21,20
27,14
34,27
25,15
21,13
17,3
21,10
31,3
12,6
27,16
24,19
24,19
27,26
20,13
16,14
23,22
14,13
20,9
34,19
24,21
29,19
31,28
19,17
38,10
31,24
18,14
37,10
28,21
16,10
24,14
30,27
40,15
42,14
14,0
35,14
30,27
28,3
26,17
30,13
20,6
35,21
24,21
34,13
38,24
37,7
24,21
31,17
41,7
16,10
28,17
13,6
41,3
28,27
19,3
24,10
38,24
31,6
27,24
9,6
23,10
15,12
14,13
28,22
20,6
16,13
24,17
35,14
10,9
40,13
25,22
28,27
32,7
36,31
19,13
24,23
28,14
22,16
23,18
31,3
33,7
26,7
35,14
27,24
21,20
35,14
36,10
23,22
31,3
35,17
38,32
38,20
37,35
34,7
26,22
13,3
31,21
30,21
29,21
24,12
19,18
37,24
14,9
26,15
27,3
31,14
21,17
35,17
20,17
28,19
34,21
22,13
42,34
24,10
20,17
17,14
21,13
21,16
16,12
16,13
25,10
20,19
20,17
34,13
38,21
24,23
27,9
30,7
31,20
33,6
23,17
27,13
30,10
21,14
24,22
21,16
31,3
35,28
17,9
13,10
28,14
24,19
13,0
26,22
26,10
24,13
28,25
26,20
9,6
23,20
20,17
28,20
13,12
29,27
23,0
41,14
10,6
45,34
35,19
23,17
21,12
28,10
36,33
38,14
9,6
34,31
19,16
23,18
31,28
38,31
31,8
17,10
30,24
30,27
31,21
20,10
13,10
28,13
31,10
30,7
29,22
24,17
24,10
17,7
24,6
31,10
37,31
13,10
10,6
34,0
37,0
24,12
41,38
27,7
27,21
20,3
19,10
20,17
24,22
17,9
38,15
17,14
23,15
27,19
38,13
30,13
13,7
20,3
16,13
23,20
31,14
23,21
27,24
45,17
32,10
31,26
17,10
19,14
16,10
31,3
55,20
27,14
20,10
23,20
44,42
20,17
44,9
29,27
16,13
24,17
34,16
20,8
26,20
38,28
27,11
41,14
20,3
17,6
31,24
35,24
31,21
34,27
30,0
26,20
38,28
28,17
14,3
22,14
33,30
23,13
30,10
24,21
20,17
21,19
31,0
14,13
41,0
31,24
20,14
29,7
22,21
27,10
31,10
13,10
34,17
31,21
30,18
16,14
35,32
31,15
16,6
39,28
25,13
20,7
20,9
13,10
38,3
29,26
38,9
14,12
23,22
42,17
17,3
20,10
7,6
38,22
21,7
14,10
24,21
23,10
31,24
23,14
24,23
19,14
20,13
24,17
38,0
31,24
31,7
38,19
38,10
36,30
16,14
24,15
28,8
27,21
34,28
17,12
38,31
17,12
13,7
24,10
19,14
13,7
21,16
23,15
42,23
33,14
20,17
29,6
45,10
13,6
34,33
44,6
27,16
29,6
21,0
23,7
27,15
24,14
34,17
24,10
17,3
31,7
19,13
37,30
38,16
20,17
24,21
27,22
13,12
13,10
31,28
31,20
34,16
31,24
27,6
31,27
26,21
51,23
31,10
20,9
30,27
17,12
23,20
20,3
41,16
17,6
37,24
31,24
25,20
12,8
17,12
40,10
31,0
27,20
20,7
21,16
30,10
7,6
34,20
28,21
27,20
17,16
31,23
16,13
16,6
44,14
34,7
41,7
34,31
13,10
14,0
13,12
24,14
34,13
28,10
28,3
9,3
12,9
28,10
23,20
37,24
27,20
27,10
30,14
20,13
31,17
30,24
37,15
21,14
27,24
45,19
41,31
17,15
21,16
33,26
20,17
36,22
31,18
34,0
16,6
20,12
13,10
10,9
41,10
31,24
27,14
24,11
29,27
25,23
24,12
34,12
27,10
31,22
27,20
13,9
13,10
31,19
28,3
23,14
24,3
24,3
24,23
14,13
20,17
37,3
29,24
35,28
26,3
30,7
34,11
20,13
28,25
30,15
20,0
28,14
30,22
45,42
24,20
20,13
38,37
24,3
40,14
31,20
26,23
19,16
46,36
31,17
38,31
21,10
48,21
34,24
34,17
20,18
25,21
29,19
30,10
24,16
31,16
31,7
17,14
31,28
28,21
24,20
23,9
32,31
22,3
37,22
33,20
23,19
27,17
16,14
35,31
48,22
24,22
39,26
28,25
44,21
16,3
32,18
20,17
20,16
27,17
16,13
26,20
38,17
38,28
20,17
21,16
35,13
17,10
20,16
20,13
25,24
28,7
24,21
30,22
24,3
27,23
17,10
24,17
13,9
19,17
50,10
31,21
26,16
31,24
38,16
19,10
31,10
45,33
27,19
35,0
16,13
38,19
20,10
28,21
16,13
23,7
21,3
24,17
20,7
25,10
30,27
20,18
38,3
34,24
41,21
30,27
23,10
34,19
41,35
20,17
27,10
30,28
19,10
28,24
31,14
36,35
25,24
17,14
17,13
28,20
41,3
43,0
38,21
22,17
34,7
22,20
23,20
19,16
23,15
31,28
14,13
19,5
50,21
28,21
26,9
26,10
17,3
24,7
27,3
35,7
26,0
13,10
17,10
29,10
31,21
27,20
27,19
20,19
23,20
24,17
16,14
24,10
38,10
38,36
21,14
17,3
14,10
19,13
19,7
16,15
35,7
21,14
21,13
24,22
22,21
23,18
24,22
24,21
16,14
20,10
18,17
42,20
13,10
20,17
14,3
34,31
14,11
16,13
26,23
16,6
17,3
20,14
25,23
20,16
41,13
16,13
31,30
24,21
24,7
13,10
31,29
31,10
24,10
13,10
35,8
31,10
6,3
40,16
16,13
24,9
34,3
24,23
31,3
38,20
31,3
26,16
24,23
13,9
41,10
48,22
13,10
34,0
23,17
21,16
27,20
24,21
16,9
27,3
23,20
34,24
20,3
27,7
31,27
33,7
30,7
14,13
41,9
12,7
25,17
34,17
31,16
27,6
33,17
37,20
17,0
27,17
35,10
27,24
23,3
17,10
16,15
24,14
35,28
24,6
27,19
28,9
6,3
27,13
23,19
20,17
24,17
19,10
17,7
27,17
31,19
31,17
44,17
26,17
16,10
23,13
23,7
23,20
13,9
34,31
41,23
27,21
21,17
20,0
20,17
34,28
30,23
27,20
17,7
43,12
33,21
34,24
35,27
16,3
37,34
13,6
20,3
20,6
44,30
37,34
33,17
34,21
41,14
35,19
35,12
41,28
23,10
30,21
21,17
16,10
13,6
24,17
21,14
44,28
30,14
20,10
28,3
31,24
19,17
33,31
20,15
19,16
28,20
23,16
26,7
31,28
27,24
35,19
41,24
30,17
31,10
24,21
12,9
28,10
31,8
24,14
24,9
45,0
36,30
22,21
31,21
24,20
31,24
17,7
41,14
30,20
22,0
34,12
34,17
29,28
37,14
13,10
23,20
23,14
29,10
26,20
